claimId,sourceId,locator
claim-g6-why-study-history-evidence,source-g6-official-programme,"Lớp 6 — Tại sao cần học Lịch sử? — Dựa vào đâu để biết và dựng lại lịch sử?"
claim-g6-why-study-history-time,source-g6-official-programme,"Lớp 6 — Tại sao cần học Lịch sử? — Thời gian trong lịch sử"
